node_pair,network_relation,eyes,bands,city,contrast
L-ACC→R-ACC,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16059717757331438
L-ACC→L-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.025674131335917293
L-ACC→R-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.03253347285382124
L-ACC→L-IFG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.08871415667468088
L-ACC→R-IFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.023211538298959885
L-ACC→L-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.13049306966956498
L-ACC→R-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.05490478573041517
L-ACC→L-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04950704102591152
L-ACC→R-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03374314404149129
L-ACC→L-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.24400104640365927
L-ACC→R-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09119718083720542
L-ACC→L-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11145796216381147
L-ACC→R-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10636131394229748
L-ACC→L-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.05400556493734326
L-ACC→R-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.1907221184953856
L-ACC→L-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.09060453698477577
L-ACC→R-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.02501680610245546
L-ACC→L-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11865312221722926
L-ACC→R-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16321728272288535
L-ACC→L-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03369259441587502
L-ACC→R-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.003595418134316499
R-ACC→L-ACC,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.15663003951000135
R-ACC→L-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.045546861995349734
R-ACC→R-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0363669746908279
R-ACC→L-IFG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.066117715154613
R-ACC→R-IFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.27679555917347703
R-ACC→L-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.052930151282690116
R-ACC→R-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.10662922485545766
R-ACC→L-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04471239949166646
R-ACC→R-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16216887002815902
R-ACC→L-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2094173329983248
R-ACC→R-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.00977112651827201
R-ACC→L-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.22473891588068784
R-ACC→R-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0015936295452619962
R-ACC→L-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.04696106715124069
R-ACC→R-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.11198992798602649
R-ACC→L-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0448689001393332
R-ACC→R-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.08005902325618515
R-ACC→L-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.01871307809520925
R-ACC→R-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.12799688558166736
R-ACC→L-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.05411255411255411
R-ACC→R-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0433347006616048
L-INS→L-ACC,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.047459519372977786
L-INS→R-ACC,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.039326246882087815
L-INS→R-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.007251575473828419
L-INS→L-IFG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.06126912492274788
L-INS→R-IFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1303975554511333
L-INS→L-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.052832907023607045
L-INS→R-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.009308518721819084
L-INS→L-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.10877363210742627
L-INS→R-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.19913419913419914
L-INS→L-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.12633166972535637
L-INS→R-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.058404379110703626
L-INS→L-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.045775782988259905
L-INS→R-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.17148160424389378
L-INS→L-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.05459665480126592
L-INS→R-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.01761096900786902
L-INS→L-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.006638262565171546
L-INS→R-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04064763590151496
L-INS→L-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.029379458075664274
L-INS→R-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.12265923746589835
L-INS→L-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.016186394681626307
L-INS→R-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.1452422287003321
R-INS→L-ACC,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.006560949238225712
R-INS→R-ACC,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09469816181869047
R-INS→L-INS,SN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.0826579154117111
R-INS→L-IFG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.003798444295814886
R-INS→R-IFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.15388370936675017
R-INS→L-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10766064784710437
R-INS→R-mPFC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09959020640718429
R-INS→L-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.017981565045741606
R-INS→R-aSTG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1652700420974119
R-INS→L-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16578200246286384
R-INS→R-PREC,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07535398122682785
R-INS→L-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1097486169340904
R-INS→R-ANG,SN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.13873583459518773
R-INS→L-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.14656266077858723
R-INS→R-SFG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.07535398122682785
R-INS→L-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.12359700230961382
R-INS→R-pSTG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.15129943034537507
R-INS→L-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.08332765359810566
R-INS→R-ITG,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.05882330083550339
R-INS→L-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.036665660996339694
R-INS→R-SUP,SN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.041449182301070926
L-IFG→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.008444006618414981
L-IFG→R-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.12625795051617666
L-IFG→L-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.08245581390296622
L-IFG→R-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09824628596453887
L-IFG→R-IFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1424914757569598
L-IFG→L-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.1653617962772934
L-IFG→R-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.059980826577618246
L-IFG→L-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.17510736064668458
L-IFG→R-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.03034819162637049
L-IFG→L-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1307121459094294
L-IFG→R-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10405995728365607
L-IFG→L-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07252842622771029
L-IFG→R-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10687602729926186
L-IFG→L-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04749715858565327
L-IFG→R-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.1014277992527524
L-IFG→L-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.06347394233600138
L-IFG→R-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.06040302465651718
L-IFG→L-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.07613978744597603
L-IFG→R-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.05423416055820572
L-IFG→L-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.009166415249084923
L-IFG→R-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.14583345997516567
R-IFG→L-ACC,CEN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07037328389426241
R-IFG→R-ACC,CEN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.073629158373723
R-IFG→L-INS,CEN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0007036672182012486
R-IFG→R-INS,CEN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.17884959796666583
R-IFG→L-IFG,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0
R-IFG→L-mPFC,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.00995739384775732
R-IFG→R-mPFC,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.001352259789321917
R-IFG→L-aSTG,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.19743048228798296
R-IFG→R-aSTG,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.18826406703889803
R-IFG→L-PREC,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1773999803425837
R-IFG→R-PREC,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04561416152908693
R-IFG→L-ANG,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.18141815361722688
R-IFG→R-ANG,CEN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.14669305988011316
R-IFG→L-SFG,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.049329460719241804
R-IFG→R-SFG,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.1543361340496299
R-IFG→L-pSTG,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.02660150130212722
R-IFG→R-pSTG,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.06782592360085682
R-IFG→L-ITG,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.027966237165952923
R-IFG→R-ITG,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1537707494754499
R-IFG→L-SUP,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.08332765359810566
R-IFG→R-SUP,CEN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16660732969161765
L-mPFC→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.009293567591240164
L-mPFC→R-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16135573282229512
L-mPFC→L-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.052493104761020884
L-mPFC→R-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03835369668473544
L-mPFC→L-IFG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.12015255242960497
L-mPFC→R-IFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.01761096900786902
L-mPFC→R-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2433181749044666
L-mPFC→L-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04547988979505349
L-mPFC→R-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1576408411614551
L-mPFC→L-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.18582561448372173
L-mPFC→R-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09522150315484115
L-mPFC→L-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.22702857972886684
L-mPFC→R-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.14511856564794037
L-mPFC→L-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07686619527707314
L-mPFC→R-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.01011606387545683
L-mPFC→L-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10506122093181951
L-mPFC→R-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.07109343872651624
L-mPFC→L-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.011408704035701692
L-mPFC→R-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1374471796903596
L-mPFC→L-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.019831134201073384
L-mPFC→R-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.024628352637043698
R-mPFC→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0073448645189160685
R-mPFC→R-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.05631805946584601
R-mPFC→L-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.02909643308531896
R-mPFC→R-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07354737977377716
R-mPFC→L-IFG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.029130805729419056
R-mPFC→R-IFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.004551247402367095
R-mPFC→L-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03318414231089766
R-mPFC→L-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.04316413972516916
R-mPFC→R-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09081734998175592
R-mPFC→L-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.24132442979879218
R-mPFC→R-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11584576231931763
R-mPFC→L-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.15937478999582957
R-mPFC→R-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.12581243138900447
R-mPFC→L-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.051487005475252284
R-mPFC→R-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.03625787736914209
R-mPFC→L-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07870957708479684
R-mPFC→R-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0007042428152039986
R-mPFC→L-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2210245997341515
R-mPFC→R-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.012470292363159828
R-mPFC→L-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07579883017501524
R-mPFC→R-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.08461306383770698
L-aSTG→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.26807512117417015
L-aSTG→R-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2143955832376884
L-aSTG→L-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2518527803743652
L-aSTG→R-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.02478249720871652
L-aSTG→L-IFG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1407334436402497
L-aSTG→R-IFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.22769080008639814
L-aSTG→L-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03412082949026188
L-aSTG→R-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10826579752676822
L-aSTG→R-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.18202187209187906
L-aSTG→L-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.15811267806957122
L-aSTG→R-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.040706115193740025
L-aSTG→L-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.058608829274917396
L-aSTG→R-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2933658523882481
L-aSTG→L-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.016059101370939324
L-aSTG→R-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.06173803722306589
L-aSTG→L-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11257252006190381
L-aSTG→R-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.18471542590489812
L-aSTG→L-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.05643499775197682
L-aSTG→R-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1365782387215136
L-aSTG→L-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.015334726388597987
L-aSTG→R-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.06669590643415442
R-aSTG→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.022988416418472588
R-aSTG→R-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0168238204838412
R-aSTG→L-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11422763618090442
R-aSTG→R-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.031163187524494804
R-aSTG→L-IFG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.032276050822296024
R-aSTG→R-IFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.010621220104274472
R-aSTG→L-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.023973701420683648
R-aSTG→R-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04033691446121603
R-aSTG→L-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11845828937278978
R-aSTG→L-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.11065578489687142
R-aSTG→R-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.02185837482474097
R-aSTG→L-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.005141405163241248
R-aSTG→R-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.27082966801681085
R-aSTG→L-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.125509378025932
R-aSTG→R-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.06459080983230484
R-aSTG→L-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.11620006450865977
R-aSTG→R-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.16898465231287546
R-aSTG→L-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.016893188393506956
R-aSTG→R-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.08529234009693426
R-aSTG→L-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.11960248652902321
R-aSTG→R-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0029341864383905475
L-PREC→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.22960859705030023
L-PREC→R-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.09003087788724663
L-PREC→L-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.050851338093098254
L-PREC→R-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.01627983661243011
L-PREC→L-IFG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.07984602567599156
L-PREC→R-IFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10906841882119352
L-PREC→L-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.01899222147907443
L-PREC→R-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.03954959947748149
L-PREC→L-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.02849829515139196
L-PREC→R-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.1361695802700751
L-PREC→R-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.003976825191294869
L-PREC→L-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.22899757182222646
L-PREC→R-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.25366341187282326
L-PREC→L-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.027465469792955947
L-PREC→R-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.10737428016496145
L-PREC→L-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.11584576231931763
L-PREC→R-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.12788629700378462
L-PREC→L-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.15130420908967102
L-PREC→R-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.13847056023834264
L-PREC→L-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.10636131394229748
L-PREC→R-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.08924295553355102
R-PREC→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.17591395797704595
R-PREC→R-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.0358274639003307
R-PREC→L-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.01536143032939741
R-PREC→R-INS,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.12126544710618631
R-PREC→L-IFG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.0648538106476536
R-PREC→R-IFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.10691375216490613
R-PREC→L-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.020976498270811342
R-PREC→R-mPFC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.07745904942781
R-PREC→L-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.059546188639722525
R-PREC→R-aSTG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.13860662840549648
R-PREC→L-PREC,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2130882283420066
R-PREC→L-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.13590680547716366
R-PREC→R-ANG,DMN→DMN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2782820428386534
R-PREC→L-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0007077263128741117
R-PREC→R-SFG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",-0.18582561448372173
R-PREC→L-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.015268003899894555
R-PREC→R-pSTG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.06423233999279106
R-PREC→L-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.12082783819977676
R-PREC→R-ITG,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.2608096840676708
R-PREC→L-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.030257690382653683
R-PREC→R-SUP,DMN→CEN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.04881612245544745
L-ANG→L-ACC,DMN→SN,eyes closed,alpha,"merged(Kraków,Warszawa)",0.0439484431529623
