node_pair,network_relation,city,eyes,bands,contrast
R-INS→L-ANG,SN→DMN,Kraków,eyes closed,alpha,0.10490693637264464
R-INS→R-ANG,SN→DMN,Kraków,eyes closed,alpha,0.1802182911877495
R-INS→L-SFG,SN→CEN,Kraków,eyes closed,alpha,0.2940403698326439
R-INS→R-SFG,SN→CEN,Kraków,eyes closed,alpha,-0.034968978790881546
R-INS→L-pSTG,SN→CEN,Kraków,eyes closed,alpha,0.274451975106167
R-INS→R-pSTG,SN→CEN,Kraków,eyes closed,alpha,-0.10490693637264464
R-INS→L-ITG,SN→CEN,Kraków,eyes closed,alpha,0.3983772752571305
R-INS→R-ITG,SN→CEN,Kraków,eyes closed,alpha,0.24745669886621613
R-INS→L-SUP,SN→CEN,Kraków,eyes closed,alpha,0.034968978790881546
R-INS→R-SUP,SN→CEN,Kraków,eyes closed,alpha,0.1302403678243243
L-IFG→L-ACC,DMN→SN,Kraków,eyes closed,alpha,-0.053990552479901706
L-IFG→R-ACC,DMN→SN,Kraków,eyes closed,alpha,-0.3269321985369719
L-IFG→L-INS,DMN→SN,Kraków,eyes closed,alpha,0.15486262035961829
L-IFG→R-INS,DMN→SN,Kraków,eyes closed,alpha,-0.042769946138415074
L-IFG→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,-0.029938962296890553
L-IFG→L-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.29105288084576925
L-IFG→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,-0.2244533953744433
L-IFG→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.18343516397832096
L-IFG→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,-0.09491579957524991
L-IFG→L-PREC,DMN→DMN,Kraków,eyes closed,alpha,0.0901843146561019
L-IFG→R-PREC,DMN→DMN,Kraków,eyes closed,alpha,-0.035520100315724806
L-IFG→L-ANG,DMN→DMN,Kraków,eyes closed,alpha,0.07992909437915782
L-IFG→R-ANG,DMN→DMN,Kraków,eyes closed,alpha,-0.18896693367965595
L-IFG→L-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.26517366605817344
L-IFG→R-SFG,DMN→CEN,Kraków,eyes closed,alpha,-0.21596220991960682
L-IFG→L-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.019982273594789456
L-IFG→R-pSTG,DMN→CEN,Kraków,eyes closed,alpha,-0.15297323202638816
L-IFG→L-ITG,DMN→CEN,Kraków,eyes closed,alpha,0.07524731165492134
L-IFG→R-ITG,DMN→CEN,Kraków,eyes closed,alpha,-0.12831353600921086
L-IFG→L-SUP,DMN→CEN,Kraków,eyes closed,alpha,0.26670344626845616
L-IFG→R-SUP,DMN→CEN,Kraków,eyes closed,alpha,-0.15392043470147415
R-IFG→L-ACC,CEN→SN,Kraków,eyes closed,alpha,-0.08548504142651103
R-IFG→R-ACC,CEN→SN,Kraków,eyes closed,alpha,-0.1740122992212915
R-IFG→L-INS,CEN→SN,Kraków,eyes closed,alpha,-0.01657604681400491
R-IFG→R-INS,CEN→SN,Kraków,eyes closed,alpha,0.04025611369115478
R-IFG→L-IFG,CEN→DMN,Kraków,eyes closed,alpha,-0.14227759830611802
R-IFG→L-mPFC,CEN→DMN,Kraków,eyes closed,alpha,-0.06748819059987714
R-IFG→R-mPFC,CEN→DMN,Kraków,eyes closed,alpha,-0.2354812660464883
R-IFG→L-aSTG,CEN→DMN,Kraków,eyes closed,alpha,0.32783944366547735
R-IFG→R-aSTG,CEN→DMN,Kraków,eyes closed,alpha,-0.014986705196092092
R-IFG→L-PREC,CEN→DMN,Kraków,eyes closed,alpha,-0.0278942469585241
R-IFG→R-PREC,CEN→DMN,Kraków,eyes closed,alpha,-0.047457899787624956
R-IFG→L-ANG,CEN→DMN,Kraków,eyes closed,alpha,0.11882826813941116
R-IFG→R-ANG,CEN→DMN,Kraków,eyes closed,alpha,-0.16984932555571033
R-IFG→L-SFG,CEN→CEN,Kraków,eyes closed,alpha,-0.2689280987965414
R-IFG→R-SFG,CEN→CEN,Kraków,eyes closed,alpha,-0.25976955673226293
R-IFG→L-pSTG,CEN→CEN,Kraków,eyes closed,alpha,0.03691169983481941
R-IFG→R-pSTG,CEN→CEN,Kraków,eyes closed,alpha,-0.3746676299023023
R-IFG→L-ITG,CEN→CEN,Kraków,eyes closed,alpha,-0.11989364156873673
R-IFG→R-ITG,CEN→CEN,Kraków,eyes closed,alpha,0.1505158063099208
R-IFG→L-SUP,CEN→CEN,Kraków,eyes closed,alpha,0.09991136797394728
R-IFG→R-SUP,CEN→CEN,Kraków,eyes closed,alpha,-0.18455849917409703
L-mPFC→L-ACC,DMN→SN,Kraków,eyes closed,alpha,0.07814422069459458
L-mPFC→R-ACC,DMN→SN,Kraków,eyes closed,alpha,-0.00792188454262741
L-mPFC→L-INS,DMN→SN,Kraków,eyes closed,alpha,0.18483603075180247
L-mPFC→R-INS,DMN→SN,Kraków,eyes closed,alpha,0.01115769878340964
L-mPFC→L-IFG,DMN→DMN,Kraków,eyes closed,alpha,0.013497638119975426
L-mPFC→R-IFG,DMN→CEN,Kraków,eyes closed,alpha,0.2533767155855036
L-mPFC→R-mPFC,DMN→DMN,Kraków,eyes closed,alpha,0.2354812660464883
L-mPFC→L-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.0
L-mPFC→R-aSTG,DMN→DMN,Kraków,eyes closed,alpha,0.2789511878128255
