node_pair,network_relation,city,eyes,bands,contrast
R-aSTG→R-SUP,DMN→CEN,Kraków,eyes closed,beta,-0.19654455508034394
L-PREC→L-ACC,DMN→SN,Kraków,eyes closed,beta,0.2703274367816243
L-PREC→R-ACC,DMN→SN,Kraków,eyes closed,beta,-0.025661967683049042
L-PREC→L-INS,DMN→SN,Kraków,eyes closed,beta,0.06298897789321865
L-PREC→R-INS,DMN→SN,Kraków,eyes closed,beta,-0.20957273607823387
L-PREC→L-IFG,DMN→DMN,Kraków,eyes closed,beta,-0.03149448894660933
L-PREC→R-IFG,DMN→CEN,Kraków,eyes closed,beta,0.17546929555968052
L-PREC→L-mPFC,DMN→DMN,Kraków,eyes closed,beta,0.0044992127066584755
L-PREC→R-mPFC,DMN→DMN,Kraków,eyes closed,beta,-0.17097008285302207
L-PREC→L-aSTG,DMN→DMN,Kraków,eyes closed,beta,0.2248005779413814
L-PREC→R-aSTG,DMN→DMN,Kraków,eyes closed,beta,0.36176606077998513
L-PREC→R-PREC,DMN→DMN,Kraków,eyes closed,beta,-0.15397180609829428
L-PREC→L-ANG,DMN→DMN,Kraków,eyes closed,beta,0.3047296723205392
L-PREC→R-ANG,DMN→DMN,Kraków,eyes closed,beta,0.39545711684840285
L-PREC→L-SFG,DMN→CEN,Kraków,eyes closed,beta,-0.12128129945726378
L-PREC→R-SFG,DMN→CEN,Kraków,eyes closed,beta,0.09959431881428263
L-PREC→L-pSTG,DMN→CEN,Kraków,eyes closed,beta,0.2039312242387692
L-PREC→R-pSTG,DMN→CEN,Kraków,eyes closed,beta,-0.06012287643740127
L-PREC→L-ITG,DMN→CEN,Kraków,eyes closed,beta,0.0765782172453983
L-PREC→R-ITG,DMN→CEN,Kraków,eyes closed,beta,0.06897740849642645
L-PREC→L-SUP,DMN→CEN,Kraków,eyes closed,beta,0.28455519661223605
L-PREC→R-SUP,DMN→CEN,Kraków,eyes closed,beta,0.01710797845536603
R-PREC→L-ACC,DMN→SN,Kraków,eyes closed,beta,0.019982273594789456
R-PREC→R-ACC,DMN→SN,Kraków,eyes closed,beta,0.24049150574960507
R-PREC→L-INS,DMN→SN,Kraków,eyes closed,beta,0.1619716574397051
R-PREC→R-INS,DMN→SN,Kraków,eyes closed,beta,0.01657604681400491
R-PREC→L-IFG,DMN→DMN,Kraków,eyes closed,beta,0.013497638119975426
R-PREC→R-IFG,DMN→CEN,Kraków,eyes closed,beta,-0.10348189225314494
R-PREC→L-mPFC,DMN→DMN,Kraków,eyes closed,beta,0.0641549192076226
R-PREC→R-mPFC,DMN→DMN,Kraków,eyes closed,beta,-0.061653625932651154
R-PREC→L-aSTG,DMN→DMN,Kraków,eyes closed,beta,0.06843191382146412
R-PREC→R-aSTG,DMN→DMN,Kraków,eyes closed,beta,0.34592229169473027
R-PREC→L-PREC,DMN→DMN,Kraków,eyes closed,beta,0.12403284380140371
R-PREC→L-ANG,DMN→DMN,Kraków,eyes closed,beta,0.4659522923898598
R-PREC→R-ANG,DMN→DMN,Kraków,eyes closed,beta,0.22979614634007875
R-PREC→L-SFG,DMN→CEN,Kraków,eyes closed,beta,0.17996850826633903
R-PREC→R-SFG,DMN→CEN,Kraków,eyes closed,beta,-0.18896693367965595
R-PREC→L-pSTG,DMN→CEN,Kraków,eyes closed,beta,0.23443266208378374
R-PREC→R-pSTG,DMN→CEN,Kraków,eyes closed,beta,0.20696378450628988
R-PREC→L-ITG,DMN→CEN,Kraków,eyes closed,beta,0.1633924614523341
R-PREC→R-ITG,DMN→CEN,Kraków,eyes closed,beta,0.1498670519609209
R-PREC→L-SUP,DMN→CEN,Kraków,eyes closed,beta,0.03996454718957891
R-PREC→R-SUP,DMN→CEN,Kraków,eyes closed,beta,0.08992023117655255
L-ANG→L-ACC,DMN→SN,Kraków,eyes closed,beta,0.2086738108489731
L-ANG→R-ACC,DMN→SN,Kraków,eyes closed,beta,-0.1498670519609209
L-ANG→L-INS,DMN→SN,Kraków,eyes closed,beta,0.2817927958380834
L-ANG→R-INS,DMN→SN,Kraków,eyes closed,beta,-0.12550435444889432
L-ANG→L-IFG,DMN→DMN,Kraków,eyes closed,beta,0.04949133977324323
L-ANG→R-IFG,DMN→CEN,Kraków,eyes closed,beta,0.012830983841524521
L-ANG→L-mPFC,DMN→DMN,Kraków,eyes closed,beta,-0.13987591516352618
L-ANG→R-mPFC,DMN→DMN,Kraków,eyes closed,beta,-0.21043006753090443
L-ANG→L-aSTG,DMN→DMN,Kraków,eyes closed,beta,0.13488034676482882
L-ANG→R-aSTG,DMN→DMN,Kraków,eyes closed,beta,0.2347917147387761
L-ANG→L-PREC,DMN→DMN,Kraków,eyes closed,beta,0.17852318053455424
L-ANG→R-PREC,DMN→DMN,Kraków,eyes closed,beta,-0.04025611369115478
L-ANG→R-ANG,DMN→DMN,Kraków,eyes closed,beta,0.3896543350983944
L-ANG→L-SFG,DMN→CEN,Kraków,eyes closed,beta,-0.14702018491632196
L-ANG→R-SFG,DMN→CEN,Kraków,eyes closed,beta,0.04499212706658475
L-ANG→L-pSTG,DMN→CEN,Kraków,eyes closed,beta,0.15976611056176343
L-ANG→R-pSTG,DMN→CEN,Kraków,eyes closed,beta,-0.20696378450628988
L-ANG→L-ITG,DMN→CEN,Kraków,eyes closed,beta,-0.010546199952805544
L-ANG→R-ITG,DMN→CEN,Kraków,eyes closed,beta,0.10490693637264464
L-ANG→L-SUP,DMN→CEN,Kraków,eyes closed,beta,0.2138908826509401
L-ANG→R-SUP,DMN→CEN,Kraków,eyes closed,beta,0.01897034644081574
R-ANG→L-ACC,DMN→SN,Kraków,eyes closed,beta,-0.02497784199348682
R-ANG→R-ACC,DMN→SN,Kraków,eyes closed,beta,-0.05020964452534338
R-ANG→L-INS,DMN→SN,Kraków,eyes closed,beta,-0.2024645717996314
R-ANG→R-INS,DMN→SN,Kraków,eyes closed,beta,-0.33198106271427547
R-ANG→L-IFG,DMN→DMN,Kraków,eyes closed,beta,0.053990552479901706
R-ANG→R-IFG,DMN→CEN,Kraków,eyes closed,beta,-0.16812847482776408
R-ANG→L-mPFC,DMN→DMN,Kraków,eyes closed,beta,-0.06136734330875302
R-ANG→R-mPFC,DMN→DMN,Kraków,eyes closed,beta,-0.19804711356568527
R-ANG→L-aSTG,DMN→DMN,Kraków,eyes closed,beta,-0.13947123479262052
R-ANG→R-aSTG,DMN→DMN,Kraków,eyes closed,beta,0.07383771253726967
R-ANG→L-PREC,DMN→DMN,Kraków,eyes closed,beta,0.08436959962244435
R-ANG→R-PREC,DMN→DMN,Kraków,eyes closed,beta,-0.12128129945726378
R-ANG→L-ANG,DMN→DMN,Kraków,eyes closed,beta,-0.26558485017142036
R-ANG→L-SFG,DMN→CEN,Kraków,eyes closed,beta,-0.15486262035961829
R-ANG→R-SFG,DMN→CEN,Kraków,eyes closed,beta,-0.18220334448043043
R-ANG→L-pSTG,DMN→CEN,Kraków,eyes closed,beta,0.06156887864045119
R-ANG→R-pSTG,DMN→CEN,Kraków,eyes closed,beta,0.004276994613841507
R-ANG→L-ITG,DMN→CEN,Kraków,eyes closed,beta,-0.01897034644081574
R-ANG→R-ITG,DMN→CEN,Kraków,eyes closed,beta,-0.034968978790881546
R-ANG→L-SUP,DMN→CEN,Kraków,eyes closed,beta,-0.1948271675491972
R-ANG→R-SUP,DMN→CEN,Kraków,eyes closed,beta,-0.03347309635022892
L-SFG→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.17286448820319406
L-SFG→R-ACC,CEN→SN,Kraków,eyes closed,beta,-0.026995276239950853
L-SFG→L-INS,CEN→SN,Kraków,eyes closed,beta,0.10182428757174444
L-SFG→R-INS,CEN→SN,Kraków,eyes closed,beta,-0.17097008285302207
L-SFG→L-IFG,CEN→DMN,Kraków,eyes closed,beta,0.08368274087557231
L-SFG→R-IFG,CEN→CEN,Kraków,eyes closed,beta,0.1444484079506142
L-SFG→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.14505008418432533
L-SFG→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,0.15392043470147415
L-SFG→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.21596220991960682
L-SFG→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.06327719971683327
L-SFG→L-PREC,CEN→DMN,Kraków,eyes closed,beta,-0.03347309635022892
L-SFG→R-PREC,CEN→DMN,Kraków,eyes closed,beta,0.08998425413316952
L-SFG→L-ANG,CEN→DMN,Kraków,eyes closed,beta,-0.00557884939170482
L-SFG→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.31423475352422064
L-SFG→R-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.019982273594789456
L-SFG→L-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.06748819059987714
L-SFG→R-pSTG,CEN→CEN,Kraków,eyes closed,beta,-0.16599053135713773
L-SFG→L-ITG,CEN→CEN,Kraków,eyes closed,beta,0.12831353600921086
L-SFG→R-ITG,CEN→CEN,Kraków,eyes closed,beta,-0.09491579957524991
L-SFG→L-SUP,CEN→CEN,Kraków,eyes closed,beta,-0.09491579957524991
L-SFG→R-SUP,CEN→CEN,Kraków,eyes closed,beta,-0.035993701653267804
R-SFG→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.05691103932244722
R-SFG→R-ACC,CEN→SN,Kraków,eyes closed,beta,-0.019982273594789456
R-SFG→L-INS,CEN→SN,Kraków,eyes closed,beta,0.1304771684930958
R-SFG→R-INS,CEN→SN,Kraków,eyes closed,beta,-0.1505158063099208
R-SFG→L-IFG,CEN→DMN,Kraków,eyes closed,beta,0.14114082225676974
R-SFG→R-IFG,CEN→CEN,Kraków,eyes closed,beta,0.009991136797394728
R-SFG→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.10798110495980341
R-SFG→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.14487148356222354
R-SFG→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,-0.12655439943366653
R-SFG→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.2647651251309603
R-SFG→L-PREC,CEN→DMN,Kraków,eyes closed,beta,0.23845827345289922
R-SFG→R-PREC,CEN→DMN,Kraków,eyes closed,beta,0.17760050157862403
R-SFG→L-ANG,CEN→DMN,Kraków,eyes closed,beta,-0.0029535085014907874
R-SFG→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.14397480661307122
R-SFG→L-SFG,CEN→CEN,Kraków,eyes closed,beta,0.1293907808629144
R-SFG→L-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.1444484079506142
R-SFG→R-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.0044992127066584755
R-SFG→L-ITG,CEN→CEN,Kraków,eyes closed,beta,0.1529198993156804
R-SFG→R-ITG,CEN→CEN,Kraków,eyes closed,beta,0.26995276239950855
R-SFG→L-SUP,CEN→CEN,Kraków,eyes closed,beta,0.06393618056830465
R-SFG→R-SUP,CEN→CEN,Kraków,eyes closed,beta,0.1452345499481692
L-pSTG→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.0071040200631449614
L-pSTG→R-ACC,CEN→SN,Kraków,eyes closed,beta,-0.026365499882013862
L-pSTG→L-INS,CEN→SN,Kraków,eyes closed,beta,-0.06867219394373462
L-pSTG→R-INS,CEN→SN,Kraków,eyes closed,beta,-0.15985818875831564
L-pSTG→L-IFG,CEN→DMN,Kraków,eyes closed,beta,0.08992023117655255
L-pSTG→R-IFG,CEN→CEN,Kraków,eyes closed,beta,0.07648661601319408
L-pSTG→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.2086738108489731
L-pSTG→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.16635957539517562
L-pSTG→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,-0.13488034676482882
L-pSTG→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.12655439943366653
L-pSTG→L-PREC,CEN→DMN,Kraków,eyes closed,beta,-0.03996454718957891
L-pSTG→R-PREC,CEN→DMN,Kraków,eyes closed,beta,-0.256140933544953
L-pSTG→L-ANG,CEN→DMN,Kraków,eyes closed,beta,-0.10041928905068676
L-pSTG→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.2703274367816243
L-pSTG→L-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.17294433114284943
L-pSTG→R-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.05611666152832495
L-pSTG→R-pSTG,CEN→CEN,Kraków,eyes closed,beta,-0.0915587635462144
L-pSTG→L-ITG,CEN→CEN,Kraków,eyes closed,beta,-0.18970346440815739
L-pSTG→R-ITG,CEN→CEN,Kraków,eyes closed,beta,-0.04025611369115478
L-pSTG→L-SUP,CEN→CEN,Kraków,eyes closed,beta,0.12488920996743409
L-pSTG→R-SUP,CEN→CEN,Kraków,eyes closed,beta,-0.15062893357603013
R-pSTG→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.4884864208510053
R-pSTG→R-ACC,CEN→SN,Kraków,eyes closed,beta,0.11697953037312035
R-pSTG→L-INS,CEN→SN,Kraków,eyes closed,beta,0.17546929555968052
R-pSTG→R-INS,CEN→SN,Kraków,eyes closed,beta,0.04972814044201473
R-pSTG→L-IFG,CEN→DMN,Kraków,eyes closed,beta,0.41130179815941625
R-pSTG→R-IFG,CEN→CEN,Kraków,eyes closed,beta,0.17760050157862403
R-pSTG→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,0.12655439943366653
R-pSTG→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,0.18483603075180247
R-pSTG→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.5027141806816171
R-pSTG→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.4238731971009827
R-pSTG→L-PREC,CEN→DMN,Kraków,eyes closed,beta,0.12330725186530231
R-pSTG→R-PREC,CEN→DMN,Kraków,eyes closed,beta,0.33969865111142067
R-pSTG→L-ANG,CEN→DMN,Kraków,eyes closed,beta,0.36517916898570296
R-pSTG→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.5264078866790416
R-pSTG→L-SFG,CEN→CEN,Kraków,eyes closed,beta,0.2024645717996314
R-pSTG→R-SFG,CEN→CEN,Kraków,eyes closed,beta,0.08761624744545451
R-pSTG→L-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.2519559115728746
R-pSTG→L-ITG,CEN→CEN,Kraków,eyes closed,beta,0.5912082849677791
R-pSTG→R-ITG,CEN→CEN,Kraków,eyes closed,beta,0.22764415728978887
R-pSTG→L-SUP,CEN→CEN,Kraków,eyes closed,beta,0.2347917147387761
R-pSTG→R-SUP,CEN→CEN,Kraków,eyes closed,beta,0.3596809247062102
L-ITG→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.22969664870835377
L-ITG→R-ACC,CEN→SN,Kraków,eyes closed,beta,0.25811272896093357
L-ITG→L-INS,CEN→SN,Kraków,eyes closed,beta,0.25838189884373586
L-ITG→R-INS,CEN→SN,Kraków,eyes closed,beta,0.07992909437915782
L-ITG→L-IFG,CEN→DMN,Kraków,eyes closed,beta,0.055453191798391886
L-ITG→R-IFG,CEN→CEN,Kraków,eyes closed,beta,0.3007368493398033
L-ITG→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.034968978790881546
L-ITG→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,0.019982273594789456
L-ITG→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,-0.1603276704997367
L-ITG→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.19796535909297291
L-ITG→L-PREC,CEN→DMN,Kraków,eyes closed,beta,0.23916867545921372
L-ITG→R-PREC,CEN→DMN,Kraków,eyes closed,beta,0.21199627688478317
L-ITG→L-ANG,CEN→DMN,Kraków,eyes closed,beta,-0.07909649964604158
L-ITG→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.2794742987493469
L-ITG→L-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.12410952450116279
L-ITG→R-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.035993701653267804
L-ITG→L-pSTG,CEN→CEN,Kraków,eyes closed,beta,-0.09991136797394728
L-ITG→R-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.07588138576326296
L-ITG→R-ITG,CEN→CEN,Kraków,eyes closed,beta,0.25477398833356557
L-ITG→L-SUP,CEN→CEN,Kraków,eyes closed,beta,0.24557842082144976
L-ITG→R-SUP,CEN→CEN,Kraków,eyes closed,beta,0.23916867545921372
R-ITG→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.26995276239950855
R-ITG→R-ACC,CEN→SN,Kraków,eyes closed,beta,0.34194016570604413
R-ITG→L-INS,CEN→SN,Kraków,eyes closed,beta,0.06393618056830465
R-ITG→R-INS,CEN→SN,Kraków,eyes closed,beta,0.01710797845536603
R-ITG→L-IFG,CEN→DMN,Kraków,eyes closed,beta,0.035993701653267804
R-ITG→R-IFG,CEN→CEN,Kraków,eyes closed,beta,-0.1484740193197297
R-ITG→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,0.08288023407002454
R-ITG→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,0.06327719971683327
R-ITG→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,-0.1952597287096687
R-ITG→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.17097008285302207
R-ITG→L-PREC,CEN→DMN,Kraków,eyes closed,beta,0.23989052384330728
R-ITG→R-PREC,CEN→DMN,Kraków,eyes closed,beta,0.004742586610203935
R-ITG→L-ANG,CEN→DMN,Kraków,eyes closed,beta,0.13971239457518422
R-ITG→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.5310854085303779
R-ITG→L-SFG,CEN→CEN,Kraków,eyes closed,beta,0.12076834107346433
R-ITG→R-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.08126289766298865
R-ITG→L-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.23845827345289922
R-ITG→R-pSTG,CEN→CEN,Kraków,eyes closed,beta,-0.19804711356568527
R-ITG→L-ITG,CEN→CEN,Kraków,eyes closed,beta,0.2098138727452893
R-ITG→L-SUP,CEN→CEN,Kraków,eyes closed,beta,-0.1124803176664619
R-ITG→R-SUP,CEN→CEN,Kraków,eyes closed,beta,0.013497638119975426
L-SUP→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.25135709034080855
L-SUP→R-ACC,CEN→SN,Kraków,eyes closed,beta,0.09770324269240473
L-SUP→L-INS,CEN→SN,Kraków,eyes closed,beta,0.26976069352965765
L-SUP→R-INS,CEN→SN,Kraków,eyes closed,beta,-0.15397180609829428
L-SUP→L-IFG,CEN→DMN,Kraków,eyes closed,beta,0.3239433148794102
L-SUP→R-IFG,CEN→CEN,Kraków,eyes closed,beta,0.12988477836613146
L-SUP→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.1304771684930958
L-SUP→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,0.06393618056830465
L-SUP→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.17760050157862403
L-SUP→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.03794069288163148
L-SUP→L-PREC,CEN→DMN,Kraków,eyes closed,beta,0.3807782174368746
L-SUP→R-PREC,CEN→DMN,Kraków,eyes closed,beta,0.32471194591532865
L-SUP→L-ANG,CEN→DMN,Kraków,eyes closed,beta,0.1740122992212915
L-SUP→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.19654455508034394
L-SUP→L-SFG,CEN→CEN,Kraków,eyes closed,beta,0.30352554305305185
L-SUP→R-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.047457899787624956
L-SUP→L-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.21548860858206384
L-SUP→R-pSTG,CEN→CEN,Kraków,eyes closed,beta,0.16984932555571033
L-SUP→L-ITG,CEN→CEN,Kraków,eyes closed,beta,0.1948271675491972
L-SUP→R-ITG,CEN→CEN,Kraków,eyes closed,beta,-0.019982273594789456
L-SUP→R-SUP,CEN→CEN,Kraków,eyes closed,beta,0.03149448894660933
R-SUP→L-ACC,CEN→SN,Kraków,eyes closed,beta,0.2794742987493469
R-SUP→R-ACC,CEN→SN,Kraków,eyes closed,beta,-0.2510482226267169
R-SUP→L-INS,CEN→SN,Kraków,eyes closed,beta,-0.09235226082088449
R-SUP→R-INS,CEN→SN,Kraków,eyes closed,beta,-0.29010016836865066
R-SUP→L-IFG,CEN→DMN,Kraków,eyes closed,beta,-0.01657604681400491
R-SUP→R-IFG,CEN→CEN,Kraków,eyes closed,beta,-0.03078408694029483
R-SUP→L-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.24029716445969815
R-SUP→R-mPFC,CEN→DMN,Kraków,eyes closed,beta,-0.2997341039218418
R-SUP→L-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.16984932555571033
R-SUP→R-aSTG,CEN→DMN,Kraków,eyes closed,beta,0.15392043470147415
R-SUP→L-PREC,CEN→DMN,Kraków,eyes closed,beta,0.1371005993864721
R-SUP→R-PREC,CEN→DMN,Kraków,eyes closed,beta,0.04496011558827628
R-SUP→L-ANG,CEN→DMN,Kraków,eyes closed,beta,0.09491579957524991
R-SUP→R-ANG,CEN→DMN,Kraków,eyes closed,beta,0.48956570307234165
R-SUP→L-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.051323935366098083
R-SUP→R-SFG,CEN→CEN,Kraków,eyes closed,beta,-0.11989364156873673
R-SUP→L-pSTG,CEN→CEN,Kraków,eyes closed,beta,-0.2426077975197148
R-SUP→R-pSTG,CEN→CEN,Kraków,eyes closed,beta,-0.04489067907488867
R-SUP→L-ITG,CEN→CEN,Kraków,eyes closed,beta,0.1612479447469338
R-SUP→R-ITG,CEN→CEN,Kraków,eyes closed,beta,0.03078408694029483
R-SUP→L-SUP,CEN→CEN,Kraków,eyes closed,beta,0.06843191382146412
L-ACC→R-ACC,SN→SN,Kraków,eyes closed,delta,0.1612479447469338
L-ACC→L-INS,SN→SN,Kraków,eyes closed,delta,-0.20693010705103362
L-ACC→R-INS,SN→SN,Kraków,eyes closed,delta,-0.4742021982949097
L-ACC→L-IFG,SN→DMN,Kraków,eyes closed,delta,0.28929778322244
L-ACC→R-IFG,SN→CEN,Kraków,eyes closed,delta,-0.07113879915305901
L-ACC→L-mPFC,SN→DMN,Kraków,eyes closed,delta,-0.39964547189578914
L-ACC→R-mPFC,SN→DMN,Kraków,eyes closed,delta,-0.23095770914744138
L-ACC→L-aSTG,SN→DMN,Kraków,eyes closed,delta,-0.06867219394373462
L-ACC→R-aSTG,SN→DMN,Kraków,eyes closed,delta,0.06993795758176309
L-ACC→L-PREC,SN→DMN,Kraków,eyes closed,delta,0.20860962628918853
L-ACC→R-PREC,SN→DMN,Kraków,eyes closed,delta,-0.13497638119975428
L-ACC→L-ANG,SN→DMN,Kraków,eyes closed,delta,-0.2908356337412225
L-ACC→R-ANG,SN→DMN,Kraków,eyes closed,delta,-0.02497784199348682
L-ACC→L-SFG,SN→CEN,Kraków,eyes closed,delta,0.0
L-ACC→R-SFG,SN→CEN,Kraków,eyes closed,delta,-0.13947559390641276
L-ACC→L-pSTG,SN→CEN,Kraków,eyes closed,delta,0.08964269959884713
L-ACC→R-pSTG,SN→CEN,Kraków,eyes closed,delta,-0.17484489395440772
L-ACC→L-ITG,SN→CEN,Kraków,eyes closed,delta,0.13947559390641276
L-ACC→R-ITG,SN→CEN,Kraków,eyes closed,delta,-0.24390468883464364
L-ACC→L-SUP,SN→CEN,Kraków,eyes closed,delta,0.20860962628918853
L-ACC→R-SUP,SN→CEN,Kraków,eyes closed,delta,0.29839098443896583
R-ACC→L-ACC,SN→SN,Kraków,eyes closed,delta,0.1633924614523341
R-ACC→L-INS,SN→SN,Kraków,eyes closed,delta,-0.04972814044201473
R-ACC→R-INS,SN→SN,Kraków,eyes closed,delta,-0.4600309011897817
R-ACC→L-IFG,SN→DMN,Kraków,eyes closed,delta,0.07648661601319408
R-ACC→R-IFG,SN→CEN,Kraków,eyes closed,delta,-0.034968978790881546
R-ACC→L-mPFC,SN→DMN,Kraków,eyes closed,delta,0.06694619270045785
R-ACC→R-mPFC,SN→DMN,Kraków,eyes closed,delta,-0.17484489395440772
R-ACC→L-aSTG,SN→DMN,Kraków,eyes closed,delta,-0.11856466525509837
R-ACC→R-aSTG,SN→DMN,Kraków,eyes closed,delta,0.039609422713137055
R-ACC→L-PREC,SN→DMN,Kraków,eyes closed,delta,0.3983772752571305
R-ACC→R-PREC,SN→DMN,Kraków,eyes closed,delta,-0.06855029969323605
R-ACC→L-ANG,SN→DMN,Kraków,eyes closed,delta,0.19788506959988272
R-ACC→R-ANG,SN→DMN,Kraków,eyes closed,delta,-0.11489807317003937
R-ACC→L-SFG,SN→CEN,Kraków,eyes closed,delta,0.23501590809794656
R-ACC→R-SFG,SN→CEN,Kraków,eyes closed,delta,-0.04949133977324323
R-ACC→L-pSTG,SN→CEN,Kraków,eyes closed,delta,-0.014986705196092092
R-ACC→R-pSTG,SN→CEN,Kraków,eyes closed,delta,-0.034968978790881546
R-ACC→L-ITG,SN→CEN,Kraków,eyes closed,delta,0.37940692881631477
R-ACC→R-ITG,SN→CEN,Kraków,eyes closed,delta,-0.01673654817511446
R-ACC→L-SUP,SN→CEN,Kraków,eyes closed,delta,-0.0734082073191646
R-ACC→R-SUP,SN→CEN,Kraków,eyes closed,delta,-0.051323935366098083
L-INS→L-ACC,SN→SN,Kraków,eyes closed,delta,0.015819299929208316
L-INS→R-ACC,SN→SN,Kraków,eyes closed,delta,0.13686382764292823
L-INS→R-INS,SN→SN,Kraków,eyes closed,delta,-0.15392043470147415
L-INS→L-IFG,SN→DMN,Kraków,eyes closed,delta,0.0071040200631449614
L-INS→R-IFG,SN→CEN,Kraków,eyes closed,delta,0.12700086556410384
L-INS→L-mPFC,SN→DMN,Kraków,eyes closed,delta,-0.029046909989633843
L-INS→R-mPFC,SN→DMN,Kraków,eyes closed,delta,0.22873282505989764
L-INS→L-aSTG,SN→DMN,Kraków,eyes closed,delta,0.24550174545272183
L-INS→R-aSTG,SN→DMN,Kraków,eyes closed,delta,0.06393618056830465
L-INS→L-PREC,SN→DMN,Kraków,eyes closed,delta,0.0544641538174447
L-INS→R-PREC,SN→DMN,Kraków,eyes closed,delta,-0.22945984803958225
L-INS→L-ANG,SN→DMN,Kraków,eyes closed,delta,0.08436959962244435
L-INS→R-ANG,SN→DMN,Kraków,eyes closed,delta,0.054951252385671
L-INS→L-SFG,SN→CEN,Kraków,eyes closed,delta,-0.04995568398697364
L-INS→R-SFG,SN→CEN,Kraków,eyes closed,delta,-0.23989052384330728
L-INS→L-pSTG,SN→CEN,Kraków,eyes closed,delta,0.09491579957524991
L-INS→R-pSTG,SN→CEN,Kraków,eyes closed,delta,0.14702018491632196
L-INS→L-ITG,SN→CEN,Kraków,eyes closed,delta,0.09235226082088449
L-INS→R-ITG,SN→CEN,Kraków,eyes closed,delta,-0.29473853552314444
L-INS→L-SUP,SN→CEN,Kraków,eyes closed,delta,-0.04499212706658476
L-INS→R-SUP,SN→CEN,Kraków,eyes closed,delta,-0.24745669886621613
R-INS→L-ACC,SN→SN,Kraków,eyes closed,delta,-0.2609543369861916
R-INS→R-ACC,SN→SN,Kraków,eyes closed,delta,0.30784439320225593
R-INS→L-INS,SN→SN,Kraków,eyes closed,delta,0.12109384856112228
R-INS→L-IFG,SN→DMN,Kraków,eyes closed,delta,0.34968978790881544
R-INS→R-IFG,SN→CEN,Kraków,eyes closed,delta,0.006270609304576778
R-INS→L-mPFC,SN→DMN,Kraków,eyes closed,delta,-0.18483603075180247
R-INS→R-mPFC,SN→DMN,Kraków,eyes closed,delta,-0.09991136797394728
